FIPS,Area,Total Population,Deaths per Case Rate,Age-Adjusted Death Rate,Age-Adjusted New Case Rate,Uninsured Rate,White,Black or African American,Hispanic or Latino,American Indian or Alaska Native,Asian,Hawaiian and Other Pacific Islander
21237,"Wolfe County, Kentucky",13124,52.28%,272.4,521,,98.90%,0.88%,1.08%,0.93%,0.30%,0.02%
47091,"Johnson County, Tennessee",35896,52.27%,220.6,422,,97.04%,2.69%,2.16%,1.04%,0.39%,0.08%
28125,"Sharkey County, Mississippi",7600,52.13%,233.8,448.5,,27.47%,71.84%,2.29%,0.42%,1.05%,0.00%
48165,"Gaines County, Texas",43196,52.11%,175.2,336.2,,95.93%,2.73%,42.96%,1.75%,0.71%,0.08%
46102,"Oglala Lakota County, South Dakota",27344,51.82%,218.8,422.2,,6.37%,0.59%,3.99%,94.10%,0.39%,0.09%
48095,"Concho County, Texas",6606,51.69%,128.7,249,,94.82%,2.76%,34.67%,1.36%,2.12%,0.06%
13265,"Taliaferro County, Georgia",3118,51.67%,220.8,427.3,,43.62%,55.61%,4.68%,0.77%,2.31%,0.19%
08025,"Crowley County, Colorado",11844,51.65%,149,288.5,,84.70%,11.14%,32.22%,4.71%,1.54%,0.03%
02050,"Bethel Census Area, Alaska",37332,51.64%,205.2,397.4,,13.19%,1.52%,2.17%,86.99%,1.74%,0.48%
53051,"Pend Oreille County, Washington",26802,51.55%,164.2,318.5,,93.78%,1.46%,4.47%,5.98%,1.79%,0.38%
21063,"Elliott County, Kentucky",14708,51.48%,182.1,353.7,,95.54%,4.03%,1.29%,0.86%,0.34%,0.22%
13239,"Quitman County, Georgia",4470,51.11%,235,459.8,,51.01%,48.14%,1.79%,1.30%,0.85%,0.09%
48101,"Cottle County, Texas",2760,50.95%,198.5,389.6,,88.48%,11.96%,25.29%,1.38%,0.36%,0.14%
45049,"Hampton County, South Carolina",37122,50.69%,203.4,401.3,,45.74%,53.83%,3.54%,0.91%,0.88%,0.16%
40099,"Murray County, Oklahoma",27808,50.49%,206.1,408.2,,82.44%,2.59%,7.26%,21.41%,0.93%,0.18%
48131,"Duval County, Texas",19662,50.41%,182.5,362,,96.50%,1.88%,89.36%,1.43%,0.64%,0.15%
28133,"Sunflower County, Mississippi",51942,50.30%,261.8,520.5,,25.00%,74.43%,1.90%,0.61%,0.48%,0.07%
08047,"Gilpin County, Colorado",11616,50.20%,127.1,253.2,,94.85%,2.31%,7.56%,2.81%,2.34%,0.45%
12133,"Washington County, Florida",50636,50.14%,195.1,389.1,,82.65%,16.10%,4.01%,2.30%,1.12%,0.53%
17153,"Pulaski County, Illinois",10386,50.09%,264,527,,68.65%,31.91%,2.56%,1.73%,1.02%,0.10%
01113,"Russell County, Alabama",118366,49.95%,202.4,405.2,,52.05%,47.36%,5.90%,1.51%,1.61%,0.49%
53003,"Asotin County, Washington",44570,49.88%,145.1,290.9,,95.52%,1.81%,4.59%,3.34%,1.78%,0.70%
49031,"Piute County, Utah",2876,49.86%,198.3,397.7,,97.98%,1.39%,8.21%,1.60%,0.70%,0.28%
46085,"Lyman County, South Dakota",7436,49.85%,193.3,387.8,,56.99%,1.32%,2.93%,43.79%,0.94%,0.13%
37073,"Gates County, North Carolina",20956,49.71%,162.5,326.9,,67.21%,32.58%,2.47%,1.82%,0.90%,0.29%
13309,"Wheeler County, Georgia",14942,49.68%,155,312,,61.26%,38.98%,5.46%,0.63%,0.54%,0.07%
26013,"Baraga County, Michigan",16316,49.66%,183,368.5,,77.25%,8.97%,1.80%,17.43%,0.83%,0.17%
47175,"Van Buren County, Tennessee",12336,49.65%,211,425,,98.30%,1.57%,1.99%,1.05%,0.44%,0.05%
48193,"Hamilton County, Texas",16444,49.46%,221.4,447.6,,95.68%,1.65%,13.83%,2.68%,1.17%,0.12%
48023,"Baylor County, Texas",6930,49.36%,234.8,475.7,,95.30%,4.70%,14.78%,1.85%,0.75%,0.20%
47151,"Scott County, Tennessee",43700,49.29%,235.5,477.8,,98.88%,0.62%,1.06%,1.02%,0.46%,0.05%
13083,"Dade County, Georgia",32502,49.20%,193.7,393.7,,96.76%,1.98%,2.43%,1.53%,1.32%,0.11%
29203,"Shannon County, Missouri",14062,49.17%,172.6,351,,97.48%,1.39%,1.96%,3.20%,0.60%,0.10%
29085,"Hickory County, Missouri",16558,49.15%,186.9,380.3,,97.68%,1.17%,2.07%,2.48%,0.46%,0.19%
13003,"Atkinson County, Georgia",16572,49.09%,206,419.6,,79.06%,18.53%,27.06%,2.55%,1.26%,1.22%
37095,"Hyde County, North Carolina",9178,48.96%,191.4,390.9,,70.52%,28.13%,10.11%,1.85%,1.15%,0.09%
21131,"Leslie County, Kentucky",21026,48.88%,244.5,500.2,,99.10%,0.74%,0.87%,0.69%,0.42%,0.06%
40033,"Cotton County, Oklahoma",11054,48.85%,199.1,407.6,,85.44%,3.94%,8.87%,15.70%,0.98%,0.36%
47133,"Overton County, Tennessee",45022,48.76%,241.4,495.1,,98.47%,1.26%,1.68%,1.10%,0.48%,0.03%
21013,"Bell County, Kentucky",48194,48.68%,229.8,472.1,,96.44%,3.42%,1.28%,1.25%,0.60%,0.20%
13209,"Montgomery County, Georgia",17220,48.52%,193.3,398.4,,73.07%,26.89%,7.20%,0.66%,0.88%,0.02%
29091,"Howell County, Missouri",79500,48.52%,194.7,401.3,,97.70%,0.96%,2.37%,2.01%,1.08%,0.14%
22081,"Red River Parish, Louisiana",15240,48.41%,207.1,427.8,,59.09%,40.43%,2.91%,1.12%,0.39%,0.04%
12047,"Hamilton County, Florida",28008,48.30%,197.7,409.3,,64.61%,34.53%,10.48%,1.95%,1.11%,0.17%
48419,"Shelby County, Texas",48044,48.28%,185.2,383.6,,79.44%,18.66%,19.07%,1.49%,1.81%,0.21%
28089,"Madison County, Mississippi",218290,48.22%,241,499.8,5.48%,58.32%,38.83%,3.11%,0.61%,3.18%,0.16%
38027,"Eddy County, North Dakota",4694,48.16%,204.5,424.6,,94.25%,0.68%,4.56%,5.71%,0.72%,0.13%
53075,"Whitman County, Washington",95946,48.14%,121.6,252.6,,87.87%,3.46%,6.65%,2.14%,10.48%,0.67%
26061,"Houghton County, Michigan",74722,48.10%,169.4,352.2,,95.38%,1.45%,1.79%,1.61%,3.17%,0.10%
13283,"Treutlen County, Georgia",12812,48.07%,198.3,412.5,,67.83%,32.34%,3.43%,0.75%,0.52%,0.03%
26131,"Ontonagon County, Michigan",11632,48.06%,162.1,337.3,,97.63%,0.79%,1.46%,2.17%,0.93%,0.05%
40133,"Seminole County, Oklahoma",47112,48.04%,206.1,429,,73.68%,6.44%,5.60%,27.26%,1.00%,0.29%
18143,"Scott County, Indiana",48768,48.03%,226.1,470.7,,98.06%,1.03%,2.53%,0.66%,1.15%,0.13%
40063,"Hughes County, Oklahoma",26734,47.93%,217.8,454.4,,72.40%,6.97%,6.16%,27.50%,0.58%,0.19%
40029,"Coal County, Oklahoma",10532,47.89%,185.4,387.1,,77.08%,2.62%,4.79%,29.42%,0.76%,0.15%
40049,"Garvin County, Oklahoma",51312,47.88%,218.9,457.2,,87.02%,3.81%,10.06%,14.39%,0.90%,0.29%
29035,"Carter County, Missouri",10404,47.84%,207,432.7,,97.67%,1.58%,2.73%,2.61%,0.52%,0.06%
35031,"McKinley County, New Mexico",145804,47.75%,148.8,311.6,27.25%,17.96%,1.19%,14.57%,81.75%,1.42%,0.18%
26003,"Alger County, Michigan",17684,47.74%,181.4,380,,87.51%,8.12%,1.93%,6.84%,0.72%,0.03%
22065,"Madison Parish, Louisiana",20034,47.73%,220.7,462.4,,36.09%,63.67%,2.52%,1.04%,0.51%,0.04%
29025,"Caldwell County, Missouri",17630,47.72%,176.2,369.2,,97.78%,1.68%,2.75%,1.78%,0.84%,0.20%
40005,"Atoka County, Oklahoma",28286,47.72%,187.7,393.3,,79.29%,5.31%,4.05%,22.53%,1.12%,0.13%
17059,"Gallatin County, Illinois",9892,47.71%,215.6,451.9,,98.44%,1.46%,1.54%,1.31%,0.53%,0.06%
13249,"Schley County, Georgia",9094,47.69%,166,348.1,,78.40%,21.71%,5.72%,1.78%,1.69%,0.18%
21165,"Menifee County, Kentucky",12226,47.66%,219,459.5,,96.35%,3.50%,1.34%,0.93%,0.36%,0.13%
35017,"Grant County, New Mexico",56370,47.57%,147.1,309.2,,95.16%,1.75%,50.09%,3.96%,1.28%,0.30%
38001,"Adams County, North Dakota",4400,47.52%,153.1,322.2,,94.45%,1.73%,2.09%,1.91%,3.91%,0.23%
26153,"Schoolcraft County, Michigan",16094,47.43%,190.8,402.3,,90.11%,1.33%,1.35%,11.84%,0.51%,0.04%
26097,"Mackinac County, Michigan",21668,47.41%,179.3,378.2,,78.94%,3.95%,2.28%,20.75%,1.35%,0.09%
54047,"McDowell County, West Virginia",38222,47.40%,232.5,490.5,,91.63%,8.68%,1.80%,0.67%,0.27%,0.04%
46019,"Butte County, South Dakota",20486,47.38%,203.8,430.1,,95.86%,1.08%,4.17%,4.83%,0.89%,0.22%
55037,"Florence County, Wisconsin",9116,47.37%,222.9,470.6,,98.03%,1.16%,1.16%,1.78%,0.79%,0.09%
38021,"Dickey County, North Dakota",9998,47.29%,182.5,385.9,,97.54%,1.18%,3.40%,1.86%,1.08%,0.10%
28039,"George County, Mississippi",48700,47.29%,205.2,433.9,,90.88%,8.48%,3.02%,1.09%,0.90%,0.04%
28001,"Adams County, Mississippi",59076,47.28%,210.1,444.4,,45.20%,54.03%,9.79%,0.97%,0.83%,0.07%
40045,"Ellis County, Oklahoma",7498,47.26%,172.2,364.4,,95.17%,1.55%,7.79%,4.77%,0.83%,0.27%
30101,"Toole County, Montana",9942,47.20%,176.7,374.4,,92.84%,1.85%,3.94%,7.08%,1.11%,0.12%
22035,"East Carroll Parish, Louisiana",14918,47.16%,273.5,580,,30.58%,69.29%,2.82%,0.75%,0.58%,0.04%
22029,"Concordia Parish, Louisiana",37374,47.11%,204.5,434.1,,58.98%,40.50%,1.85%,0.86%,0.59%,0.05%
02070,"Dillingham Census Area, Alaska",9714,47.10%,196.2,416.6,,24.34%,1.61%,3.15%,81.08%,2.39%,0.58%
21147,"McCreary County, Kentucky",33776,47.03%,226,480.5,,92.69%,6.35%,2.72%,1.59%,0.79%,0.17%
40025,"Cimarron County, Oklahoma",4592,47.02%,164.9,350.7,,97.52%,2.26%,24.22%,3.05%,1.05%,0.00%
06093,"Siskiyou County, California",88152,47.00%,168.5,358.5,,90.84%,2.84%,13.52%,8.61%,2.83%,0.81%
13165,"Jenkins County, Georgia",17348,46.98%,197.8,421,,55.58%,42.99%,6.77%,0.95%,1.35%,0.28%
47061,"Grundy County, Tennessee",27058,46.92%,231.1,492.5,,97.92%,1.18%,1.48%,1.71%,0.63%,0.07%
45011,"Barnwell County, South Carolina",41178,46.92%,194.9,415.4,,54.37%,44.90%,2.78%,1.34%,1.16%,0.08%
47097,"Lauderdale County, Tennessee",50286,46.91%,220.3,469.6,,63.07%,36.53%,2.69%,1.34%,0.80%,0.09%
21225,"Union County, Kentucky",27336,46.89%,216.2,461.1,,85.70%,14.52%,2.14%,0.79%,0.80%,0.10%
48275,"Knox County, Texas",6706,46.88%,199.6,425.8,,91.95%,7.93%,35.49%,2.42%,0.81%,0.24%
21051,"Clay County, Kentucky",40690,46.87%,263.2,561.6,,95.65%,4.35%,2.12%,0.77%,0.36%,0.07%
47103,"Lincoln County, Tennessee",70638,46.84%,172.4,368.1,,91.23%,8.06%,3.74%,1.80%,0.81%,0.26%
56005,"Campbell County, Wyoming",94052,46.81%,172.6,368.7,,96.73%,1.20%,8.71%,2.77%,1.30%,0.21%
48105,"Crockett County, Texas",6196,46.74%,148.6,317.9,,93.35%,2.58%,66.85%,4.07%,1.19%,0.13%
47139,"Polk County, Tennessee",35088,46.73%,208.5,446.2,,98.19%,1.21%,2.10%,1.65%,0.56%,0.09%
40039,"Custer County, Oklahoma",57026,46.72%,193.1,413.3,,86.52%,4.45%,18.81%,11.65%,1.90%,0.22%
12079,"Madison County, Florida",35936,46.71%,159.9,342.3,,60.98%,38.46%,6.16%,1.41%,0.69%,0.12%
29067,"Douglas County, Missouri",23156,46.71%,152.6,326.7,,97.83%,1.23%,1.68%,2.68%,0.73%,0.13%
39075,"Holmes County, Ohio",88446,46.64%,161.1,345.4,,99.15%,0.71%,1.03%,0.40%,0.36%,0.09%
40093,"Major County, Oklahoma",15564,46.63%,187.3,401.7,,94.60%,1.88%,10.25%,5.18%,1.20%,0.17%
48045,"Briscoe County, Texas",2870,46.62%,160.9,345.1,,94.77%,5.44%,25.02%,1.95%,0.70%,0.07%
47135,"Perry County, Tennessee",16732,46.59%,236.8,508.3,,95.68%,3.47%,2.63%,1.83%,1.18%,0.02%
48271,"Kinney County, Texas",6258,46.58%,147.8,317.3,,94.31%,3.96%,61.27%,2.91%,1.12%,0.29%
05079,"Lincoln County, Arkansas",25882,46.50%,190.4,409.5,,69.44%,30.13%,4.56%,1.34%,0.57%,0.04%
29149,"Oregon County, Missouri",17270,46.49%,169.5,364.6,,97.46%,1.03%,1.82%,3.15%,0.69%,0.15%
31105,"Kimball County, Nebraska",6868,46.48%,194.6,418.7,,96.10%,1.14%,8.94%,3.58%,1.54%,0.38%
21235,"Whitley County, Kentucky",73424,46.45%,260,559.7,,98.25%,1.40%,1.51%,0.91%,0.65%,0.07%
53041,"Lewis County, Washington",164298,46.45%,178.4,384.1,6.45%,95.29%,1.78%,11.01%,4.06%,2.03%,0.56%
08021,"Conejos County, Colorado",14922,46.42%,129.2,278.3,,93.15%,1.98%,51.43%,6.14%,1.31%,0.21%
48437,"Swisher County, Texas",13942,46.42%,166.4,358.5,,88.44%,10.20%,45.43%,2.47%,1.05%,0.16%
46047,"Fall River County, South Dakota",13946,46.38%,195.8,422.2,,89.33%,1.79%,4.14%,9.98%,2.01%,0.16%
29013,"Bates County, Missouri",32084,46.34%,187,403.5,,97.26%,2.02%,2.62%,2.09%,0.59%,0.11%
40061,"Haskell County, Oklahoma",23122,46.33%,203.1,438.4,,79.03%,1.92%,4.77%,25.46%,1.28%,0.15%
46093,"Meade County, South Dakota",59704,46.33%,177.2,382.5,,92.96%,2.79%,4.41%,5.37%,1.88%,0.23%
29185,"St. Clair County, Missouri",18568,46.23%,169,365.6,,98.10%,1.13%,2.26%,1.96%,0.56%,0.09%
53063,"Spokane County, Washington",1078678,46.19%,163.6,354.2,5.51%,92.80%,3.62%,6.35%,3.41%,3.98%,1.00%
35003,"Catron County, New Mexico",7158,46.16%,105.2,227.9,,94.05%,1.93%,18.75%,6.40%,0.81%,0.11%
48083,"Coleman County, Texas",15368,46.13%,199,431.4,,93.75%,4.46%,18.41%,2.29%,1.57%,0.13%
40015,"Caddo County, Oklahoma",53890,46.12%,202.8,439.7,,69.98%,4.71%,13.92%,31.21%,0.95%,0.29%
40105,"Nowata County, Oklahoma",18640,46.05%,217.5,472.3,,76.59%,4.09%,3.49%,28.89%,0.71%,0.15%
46071,"Jackson County, South Dakota",5612,45.95%,182.7,397.6,,43.30%,2.10%,3.99%,60.09%,0.68%,0.07%
17003,"Alexander County, Illinois",10480,45.86%,218.1,475.6,,67.88%,33.07%,1.98%,1.07%,0.59%,0.29%
18123,"Perry County, Indiana",38340,45.81%,175.5,383.1,,95.91%,3.40%,1.47%,0.74%,0.96%,0.08%
48047,"Brooks County, Texas",14152,45.80%,169.4,369.9,,96.69%,1.64%,91.12%,0.95%,1.31%,0.07%
18153,"Sullivan County, Indiana",41634,45.78%,198.5,433.6,,94.37%,5.52%,1.75%,1.02%,0.51%,0.04%
21193,"Perry County, Kentucky",56946,45.76%,273,596.6,,97.00%,2.37%,1.16%,0.59%,1.15%,0.07%
28163,"Yazoo County, Mississippi",53486,45.76%,228.7,499.8,,40.96%,58.30%,7.34%,0.98%,0.77%,0.15%
28119,"Quitman County, Mississippi",12352,45.76%,214.5,468.8,,26.81%,73.04%,1.64%,0.91%,0.50%,0.10%
29039,"Cedar County, Missouri",28376,45.75%,186.1,406.8,,98.01%,1.02%,2.39%,2.16%,0.75%,0.11%
29119,"McDonald County, Missouri",46606,45.73%,200.5,438.4,,89.92%,2.96%,11.38%,5.70%,2.09%,3.24%
48283,"La Salle County, Texas",13328,45.73%,148.7,325.2,,96.35%,2.24%,86.91%,1.55%,0.63%,0.12%
40115,"Ottawa County, Oklahoma",60570,45.71%,218.5,478,,75.57%,2.06%,6.07%,28.51%,1.18%,1.03%
29175,"Randolph County, Missouri",49432,45.69%,218.2,477.6,,92.89%,7.29%,2.14%,1.31%,0.97%,0.13%
05133,"Sevier County, Arkansas",31678,45.67%,164.7,360.6,,90.18%,5.25%,34.29%,5.25%,1.00%,1.19%
35023,"Hidalgo County, New Mexico",8356,45.62%,147,322.2,,95.79%,2.42%,59.33%,2.18%,0.79%,0.22%
28021,"Claiborne County, Mississippi",18270,45.62%,227.4,498.5,,12.25%,87.09%,1.61%,0.65%,0.90%,0.11%
53065,"Stevens County, Washington",92890,45.59%,148.2,325.1,,92.45%,1.18%,3.93%,7.90%,1.53%,0.46%
29181,"Ripley County, Missouri",21358,45.55%,203.2,446.1,,97.83%,1.21%,1.53%,2.18%,0.66%,0.14%
21175,"Morgan County, Kentucky",27452,45.53%,225.2,494.6,,94.11%,5.01%,1.17%,0.74%,1.09%,0.06%
13295,"Walker County, Georgia",135308,45.48%,175.7,386.3,14.07%,94.34%,5.38%,2.63%,0.97%,0.99%,0.10%
41015,"Curry County, Oregon",46892,45.47%,178.8,393.2,,95.45%,1.29%,7.74%,5.40%,1.54%,0.44%
47049,"Fentress County, Tennessee",36978,45.45%,212.7,468,,98.44%,0.91%,1.75%,1.14%,0.69%,0.08%
21041,"Carroll County, Kentucky",21620,45.44%,238.7,525.3,,96.68%,3.69%,6.91%,1.20%,0.91%,0.15%
08009,"Baca County, Colorado",7012,45.30%,169.2,373.5,,95.86%,2.34%,11.72%,3.96%,0.80%,0.14%
05035,"Crittenden County, Arkansas",96326,45.29%,220.9,487.7,,43.85%,55.71%,3.01%,0.89%,0.95%,0.13%
38023,"Divide County, North Dakota",4390,45.29%,147.5,325.7,,94.62%,2.69%,3.28%,2.51%,2.55%,0.50%
56015,"Goshen County, Wyoming",24996,45.28%,162.9,359.8,,95.97%,1.54%,11.03%,2.50%,1.31%,0.30%
29001,"Adair County, Missouri",50628,45.24%,187.6,414.7,,92.98%,4.67%,2.68%,1.01%,3.31%,0.15%
48069,"Castro County, Texas",14742,45.23%,133.3,294.7,,94.11%,3.42%,65.70%,2.74%,0.90%,0.05%
45005,"Allendale County, South Carolina",16078,45.19%,178.1,394.1,,25.35%,73.77%,3.50%,0.83%,1.04%,0.11%
40139,"Texas County, Oklahoma",42768,45.19%,193.6,428.4,,88.58%,6.02%,47.30%,2.90%,3.72%,0.55%
13271,"Telfair County, Georgia",24954,45.17%,150.7,333.6,,61.71%,37.65%,15.48%,0.91%,1.17%,0.26%
48507,"Zavala County, Texas",19340,45.16%,158.1,350.1,,96.71%,1.83%,93.94%,1.59%,0.41%,0.21%
01081,"Lee County, Alabama",348482,45.15%,173.6,384.5,6.23%,72.24%,23.79%,3.79%,0.83%,4.74%,0.17%
40075,"Kiowa County, Oklahoma",17018,45.14%,230.1,509.7,,86.07%,6.22%,12.00%,11.79%,0.80%,0.35%
26095,"Luce County, Michigan",10678,45.14%,179.3,397.2,,82.09%,12.32%,1.78%,8.78%,0.73%,0.17%
31015,"Boyd County, Nebraska",3620,45.11%,191.3,424.1,,96.80%,0.39%,2.54%,1.66%,1.55%,0.11%
53043,"Lincoln County, Washington",21752,45.09%,145.1,321.8,,96.34%,1.22%,3.63%,3.74%,1.29%,0.40%
48447,"Throckmorton County, Texas",2880,45.09%,149.6,331.8,,97.08%,1.46%,13.26%,2.36%,0.69%,0.00%
48137,"Edwards County, Texas",2844,45.04%,168.1,373.2,,93.88%,2.04%,55.41%,4.15%,1.41%,0.00%
40121,"Pittsburg County, Oklahoma",87546,45.00%,201.9,448.7,,79.12%,4.52%,5.53%,23.67%,0.84%,0.19%
31167,"Stanton County, Nebraska",11684,44.99%,110.9,246.5,,97.74%,1.61%,6.26%,1.23%,0.60%,0.03%
22025,"Catahoula Parish, Louisiana",17812,44.99%,211.8,470.8,,67.75%,32.20%,1.82%,1.13%,0.30%,0.07%
13125,"Glascock County, Georgia",5768,44.97%,202.8,451,,89.84%,10.19%,1.80%,1.18%,0.31%,0.14%
18117,"Orange County, Indiana",39734,44.95%,210,467.2,,97.43%,2.16%,1.80%,1.13%,0.64%,0.06%
26085,"Lake County, Michigan",24192,44.95%,187.2,416.5,,91.18%,9.01%,2.56%,2.03%,0.71%,0.18%
48307,"McCulloch County, Texas",15260,44.93%,207.7,462.3,,94.97%,3.68%,33.68%,1.98%,1.10%,0.21%
18175,"Washington County, Indiana",56364,44.89%,194.6,433.5,,98.82%,0.94%,1.33%,0.76%,0.47%,0.06%
53015,"Cowlitz County, Washington",221460,44.87%,184.3,410.7,4.76%,94.34%,2.07%,9.61%,4.23%,2.61%,0.74%
28011,"Bolivar County, Mississippi",61970,44.87%,233.6,520.6,,34.37%,64.72%,2.38%,0.42%,1.16%,0.08%
08083,"Montezuma County, Colorado",51698,44.87%,138.6,308.9,,84.38%,1.01%,12.86%,15.97%,1.15%,0.21%
06015,"Del Norte County, California",55486,44.80%,164.7,367.6,,82.77%,4.64%,20.56%,13.02%,4.57%,0.50%
35029,"Luna County, New Mexico",50854,44.80%,181.7,405.6,,93.94%,2.27%,68.58%,3.70%,1.56%,0.31%
31173,"Thurston County, Nebraska",13546,44.79%,222.4,496.5,,38.65%,1.42%,7.31%,61.75%,1.24%,0.13%
05017,"Chicot County, Arkansas",20416,44.78%,211.3,471.9,,44.39%,54.72%,6.25%,1.00%,1.01%,0.08%
29069,"Dunklin County, Missouri",56566,44.77%,221.3,494.3,,87.69%,12.10%,7.15%,1.20%,1.11%,0.12%
42057,"Fulton County, Pennsylvania",29112,44.76%,190.2,424.9,,98.01%,2.10%,1.32%,0.79%,0.38%,0.05%
21091,"Hancock County, Kentucky",18190,44.75%,197.7,441.8,,97.68%,2.19%,1.81%,0.78%,0.53%,0.04%
05097,"Montgomery County, Arkansas",16968,44.73%,193.9,433.5,,96.29%,1.39%,4.44%,3.26%,1.61%,0.07%
05091,"Miller County, Arkansas",85200,44.71%,192.8,431.2,,72.75%,26.74%,3.66%,1.73%,0.86%,0.18%
53013,"Columbia County, Washington",7904,44.71%,191.1,427.4,,93.50%,1.95%,8.30%,3.31%,2.02%,2.40%
04007,"Gila County, Arizona",106544,44.70%,144.7,323.7,,79.53%,1.24%,19.22%,19.65%,1.17%,0.27%
40067,"Jefferson County, Oklahoma",10674,44.68%,199.4,446.3,,89.28%,2.89%,11.88%,12.01%,1.01%,0.13%
39001,"Adams County, Ohio",54954,44.65%,236.4,529.4,,98.48%,1.07%,1.09%,1.34%,0.54%,0.05%
04012,"La Paz County, Arizona",33114,44.65%,140.3,314.2,,78.88%,2.10%,28.49%,20.41%,1.61%,0.39%
18165,"Vermillion County, Indiana",30878,44.65%,219.1,490.7,,98.63%,1.26%,1.41%,0.87%,0.58%,0.12%
31023,"Butler County, Nebraska",16738,44.63%,201.7,451.9,,98.17%,1.16%,5.01%,1.12%,0.63%,0.10%
04015,"Mohave County, Arizona",426534,44.63%,182.8,409.6,7.93%,93.77%,2.00%,17.29%,4.42%,2.05%,0.51%
29223,"Wayne County, Missouri",21948,44.61%,189.4,424.6,,98.09%,1.69%,1.87%,2.04%,0.51%,0.08%
29227,"Worth County, Missouri",3946,44.60%,214.2,480.3,,98.48%,1.37%,1.93%,0.96%,0.41%,0.00%
48395,"Robertson County, Texas",33514,44.59%,182.7,409.7,,77.61%,21.07%,21.93%,1.82%,1.19%,0.14%
40091,"McIntosh County, Oklahoma",37882,44.59%,181.4,406.8,,76.36%,4.77%,2.97%,26.31%,0.90%,0.24%
